-5.209266437348232870e+01,-3.206177967132835249e+01
-5.209215063791577904e+01,-3.206172559390029875e+01
-5.209120428292475680e+01,-3.206148224547403203e+01
-5.209047423764597085e+01,-3.206110370347762739e+01
-5.208993346336539076e+01,-3.206075220019524608e+01
-5.208931157294271941e+01,-3.206029254205675016e+01
-5.208896006966033809e+01,-3.205972472906213966e+01
-5.208868968252004805e+01,-3.205956249677796421e+01
-5.208855448894990303e+01,-3.205923803220961332e+01
-5.208839225666572759e+01,-3.205877837407112452e+01
-5.208823002438155214e+01,-3.205834575464665903e+01
-5.208836521795169716e+01,-3.205799425136427772e+01
-5.208850041152184218e+01,-3.205761570936786597e+01
-5.208871672123407848e+01,-3.205718308994340049e+01
-5.208874375994810890e+01,-3.205683158666102628e+01
-5.208828410180961299e+01,-3.205675047051893500e+01
-5.208763517267291121e+01,-3.205688566408908002e+01
-5.208717551453441530e+01,-3.205702085765922504e+01
-5.208679697253801066e+01,-3.205723716737146134e+01
-5.208706735967830070e+01,-3.205764274808189640e+01
-5.208733774681859074e+01,-3.205785905779413270e+01
-5.208752701781679662e+01,-3.205821056107650691e+01
-5.208763517267291121e+01,-3.205845390950277363e+01
-5.208771628881500249e+01,-3.205867021921500282e+01
-5.208766221138694164e+01,-3.205885949021320869e+01
-5.208768925010097206e+01,-3.205910283863946830e+01
-5.208771628881500249e+01,-3.205937322577976545e+01
-5.208779740495708666e+01,-3.205953545806393379e+01
-5.208779740495708666e+01,-3.205969769034810923e+01
-5.208782444367111708e+01,-3.205999511620242970e+01
-5.208758109524485036e+01,-3.206029254205675016e+01
-5.208747294038873576e+01,-3.206053589048301689e+01
-5.208695920482218611e+01,-3.206075220019524608e+01
-5.208636435311354518e+01,-3.206094147119345195e+01
-5.208590469497504927e+01,-3.206086035505136067e+01
-5.208558023040669838e+01,-3.206086035505136067e+01
-5.208552615297863753e+01,-3.206153632290209288e+01
-5.208549911426461421e+01,-3.206196894232655836e+01
-5.208658066282577437e+01,-3.206215821332476423e+01
-5.208863560509198720e+01,-3.206210413589670338e+01
-5.209042016021791000e+01,-3.206215821332476423e+01
-5.209174505720533688e+01,-3.206213117461073381e+01
-5.209242102505606908e+01,-3.206202301975461921e+01
-5.209266437348232870e+01,-3.206177967132835249e+01
